task,variant,N,B,threads,run,time,checksum
B,atomic,500000,256,2,2,0.004065,500000
B,atomic,500000,256,2,3,0.004148,500000
B,local,500000,256,2,1,0.000131,500000
B,local,500000,256,2,2,0.000129,500000
B,local,500000,256,2,3,0.000132,500000
B,critical,500000,256,4,1,0.021537,500000
B,critical,500000,256,4,2,0.013428,500000
B,critical,500000,256,4,3,0.016227,500000
B,atomic,500000,256,4,1,0.003434,500000
B,atomic,500000,256,4,2,0.003373,500000
B,atomic,500000,256,4,3,0.003337,500000
B,local,500000,256,4,1,0.000118,500000
B,local,500000,256,4,2,0.000120,500000
B,local,500000,256,4,3,0.000117,500000
B,critical,500000,256,8,1,0.014964,500000
B,critical,500000,256,8,2,0.014882,500000
B,critical,500000,256,8,3,0.014328,500000
B,atomic,500000,256,8,1,0.006166,500000
B,atomic,500000,256,8,2,0.006292,500000
B,atomic,500000,256,8,3,0.006200,500000
B,local,500000,256,8,1,0.000181,500000
B,local,500000,256,8,2,0.000192,500000
B,local,500000,256,8,3,0.000198,500000
B,critical,500000,256,16,1,0.019235,500000
B,critical,500000,256,16,2,0.019730,500000
B,critical,500000,256,16,3,0.020080,500000
B,atomic,500000,256,16,1,0.006471,500000
B,atomic,500000,256,16,2,0.006337,500000
B,atomic,500000,256,16,3,0.006357,500000
B,local,500000,256,16,1,0.000349,500000
B,local,500000,256,16,2,0.000282,500000
B,local,500000,256,16,3,0.000263,500000
B,critical,500000,4096,1,1,0.003419,500000
B,critical,500000,4096,1,2,0.003276,500000
B,critical,500000,4096,1,3,0.003281,500000
B,atomic,500000,4096,1,1,0.000448,500000
B,atomic,500000,4096,1,2,0.000445,500000
B,atomic,500000,4096,1,3,0.000447,500000
B,local,500000,4096,1,1,0.000173,500000
B,local,500000,4096,1,2,0.000171,500000
B,local,500000,4096,1,3,0.000177,500000
B,critical,500000,4096,2,1,0.012779,500000
B,critical,500000,4096,2,2,0.012670,500000
B,critical,500000,4096,2,3,0.012573,500000
B,atomic,500000,4096,2,1,0.003099,500000
B,atomic,500000,4096,2,2,0.003041,500000
B,atomic,500000,4096,2,3,0.002472,500000
B,local,500000,4096,2,1,0.000130,500000
B,local,500000,4096,2,2,0.000141,500000
B,local,500000,4096,2,3,0.000134,500000
B,critical,500000,4096,4,1,0.022822,500000
B,critical,500000,4096,4,2,0.021746,500000
B,critical,500000,4096,4,3,0.021942,500000
B,atomic,500000,4096,4,1,0.002671,500000
B,atomic,500000,4096,4,2,0.002691,500000
B,atomic,500000,4096,4,3,0.002617,500000
B,local,500000,4096,4,1,0.000123,500000
B,local,500000,4096,4,2,0.000127,500000
B,local,500000,4096,4,3,0.000131,500000
B,critical,500000,4096,8,1,0.026043,500000
B,critical,500000,4096,8,2,0.025710,500000
B,critical,500000,4096,8,3,0.026253,500000
B,atomic,500000,4096,8,1,0.002986,500000
B,atomic,500000,4096,8,2,0.002913,500000
B,atomic,500000,4096,8,3,0.002921,500000
B,local,500000,4096,8,1,0.000211,500000
B,local,500000,4096,8,2,0.000210,500000
B,local,500000,4096,8,3,0.000185,500000
B,critical,500000,4096,16,1,0.044099,500000
B,critical,500000,4096,16,2,0.043768,500000
B,critical,500000,4096,16,3,0.036065,500000
B,atomic,500000,4096,16,1,0.002979,500000
B,atomic,500000,4096,16,2,0.003163,500000
B,atomic,500000,4096,16,3,0.003074,500000
B,local,500000,4096,16,1,0.000339,500000
B,local,500000,4096,16,2,0.000279,500000
B,local,500000,4096,16,3,0.000337,500000
B,critical,1000000,32,1,1,0.006521,1000000
B,critical,1000000,32,1,2,0.006589,1000000
B,critical,1000000,32,1,3,0.006643,1000000
B,atomic,1000000,32,1,1,0.000903,1000000
B,atomic,1000000,32,1,2,0.000935,1000000
B,atomic,1000000,32,1,3,0.000923,1000000
B,local,1000000,32,1,1,0.000394,1000000
B,local,1000000,32,1,2,0.000394,1000000
B,local,1000000,32,1,3,0.000402,1000000
B,critical,1000000,32,2,1,0.013698,1000000
B,critical,1000000,32,2,2,0.013342,1000000
B,critical,1000000,32,2,3,0.012885,1000000
B,atomic,1000000,32,2,1,0.011138,1000000
B,atomic,1000000,32,2,2,0.011185,1000000
B,atomic,1000000,32,2,3,0.011283,1000000
B,local,1000000,32,2,1,0.000358,1000000
B,local,1000000,32,2,2,0.000363,1000000
B,local,1000000,32,2,3,0.000363,1000000
B,critical,1000000,32,4,1,0.019685,1000000
B,critical,1000000,32,4,2,0.019820,1000000
B,critical,1000000,32,4,3,0.020038,1000000
B,atomic,1000000,32,4,1,0.014115,1000000
B,atomic,1000000,32,4,2,0.014137,1000000
B,atomic,1000000,32,4,3,0.013984,1000000
B,local,1000000,32,4,1,0.000279,1000000
B,local,1000000,32,4,2,0.000270,1000000
B,local,1000000,32,4,3,0.000263,1000000
B,critical,1000000,32,8,1,0.023390,1000000
B,critical,1000000,32,8,2,0.023295,1000000
B,critical,1000000,32,8,3,0.022853,1000000
B,atomic,1000000,32,8,1,0.023400,1000000
B,atomic,1000000,32,8,2,0.023655,1000000
B,atomic,1000000,32,8,3,0.024424,1000000
B,local,1000000,32,8,1,0.000236,1000000
B,local,1000000,32,8,2,0.000310,1000000
B,local,1000000,32,8,3,0.000256,1000000
B,critical,1000000,32,16,1,0.026799,1000000
B,critical,1000000,32,16,2,0.027263,1000000
B,critical,1000000,32,16,3,0.027118,1000000
B,atomic,1000000,32,16,1,0.024383,1000000
B,atomic,1000000,32,16,2,0.024134,1000000
B,atomic,1000000,32,16,3,0.023744,1000000
B,local,1000000,32,16,1,0.000449,1000000
B,local,1000000,32,16,2,0.000355,1000000
B,local,1000000,32,16,3,0.000427,1000000
B,critical,1000000,256,1,1,0.006629,1000000
B,critical,1000000,256,1,2,0.006696,1000000
B,critical,1000000,256,1,3,0.006621,1000000
B,atomic,1000000,256,1,1,0.000916,1000000
B,atomic,1000000,256,1,2,0.000969,1000000
B,atomic,1000000,256,1,3,0.000912,1000000
B,local,1000000,256,1,1,0.000353,1000000
B,local,1000000,256,1,2,0.000379,1000000
B,local,1000000,256,1,3,0.000353,1000000
B,critical,1000000,256,2,1,0.015087,1000000
B,critical,1000000,256,2,2,0.015291,1000000
B,critical,1000000,256,2,3,0.015298,1000000
B,atomic,1000000,256,2,1,0.008483,1000000
B,atomic,1000000,256,2,2,0.008723,1000000
B,atomic,1000000,256,2,3,0.008661,1000000
B,local,1000000,256,2,1,0.000255,1000000
B,local,1000000,256,2,2,0.000222,1000000
B,local,1000000,256,2,3,0.000234,1000000
