task,variant,schedule,chunk,N,K,threads,run,time,checksum
A,omp,guided,1,100000,24,2,1,0.228916,312551580
A,omp,guided,1,100000,24,2,2,0.228955,312551580
A,omp,guided,1,100000,24,2,3,0.228966,312551580
A,omp,guided,4,100000,24,2,1,0.230205,312551580
A,omp,guided,4,100000,24,2,2,0.228896,312551580
A,omp,guided,4,100000,24,2,3,0.229034,312551580
A,omp,guided,16,100000,24,2,1,0.228594,312551580
A,omp,guided,16,100000,24,2,2,0.237334,312551580
A,omp,guided,16,100000,24,2,3,0.229098,312551580
A,omp,guided,64,100000,24,2,1,0.229126,312551580
A,omp,guided,64,100000,24,2,2,0.228703,312551580
A,omp,guided,64,100000,24,2,3,0.229214,312551580
A,omp,static,0,100000,24,4,1,0.127117,312551580
A,omp,static,0,100000,24,4,2,0.120336,312551580
A,omp,static,0,100000,24,4,3,0.120121,312551580
A,omp,dynamic,1,100000,24,4,1,0.120347,312551580
A,omp,dynamic,1,100000,24,4,2,0.119872,312551580
A,omp,dynamic,1,100000,24,4,3,0.119976,312551580
A,omp,dynamic,4,100000,24,4,1,0.119863,312551580
A,omp,dynamic,4,100000,24,4,2,0.121455,312551580
A,omp,dynamic,4,100000,24,4,3,0.119891,312551580
A,omp,dynamic,16,100000,24,4,1,0.152230,312551580
A,omp,dynamic,16,100000,24,4,2,0.122134,312551580
A,omp,dynamic,16,100000,24,4,3,0.132447,312551580
A,omp,dynamic,64,100000,24,4,1,0.121789,312551580
A,omp,dynamic,64,100000,24,4,2,0.135498,312551580
A,omp,dynamic,64,100000,24,4,3,0.120353,312551580
A,omp,guided,1,100000,24,4,1,0.123250,312551580
A,omp,guided,1,100000,24,4,2,0.122030,312551580
A,omp,guided,1,100000,24,4,3,0.120128,312551580
A,omp,guided,4,100000,24,4,1,0.120121,312551580
A,omp,guided,4,100000,24,4,2,0.120615,312551580
A,omp,guided,4,100000,24,4,3,0.121235,312551580
A,omp,guided,16,100000,24,4,1,0.119782,312551580
A,omp,guided,16,100000,24,4,2,0.120001,312551580
A,omp,guided,16,100000,24,4,3,0.119834,312551580
A,omp,guided,64,100000,24,4,1,0.129966,312551580
A,omp,guided,64,100000,24,4,2,0.120441,312551580
A,omp,guided,64,100000,24,4,3,0.119951,312551580
A,omp,static,0,100000,24,8,1,0.096136,312551580
A,omp,static,0,100000,24,8,2,0.095986,312551580
A,omp,static,0,100000,24,8,3,0.094365,312551580
